x,y,service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,case_record_type,service_name,service_name_detail,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,iamfloc,floc,public_description,ObjectId
-117.1554844,32.71683466,4563307,,,2024/01/01 16:33:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.71683466,-117.1554844,1010 C St,92101,3,4,Downtown,,Mobile,,SS-005229,SS-005229,Encampment,44
-117.1003696,32.75102068,4563309,4539574,,2024/01/01 16:34:00+00,10,Neighborhood Policing,Encampment,,2024/01/11,Closed,32.75102068,-117.1003696,4077 Fairmount Ave,92105,9,56,Mid-City:City Heights,,Mobile,,,,Homeless lady refuses to remove from this place she does have a dog makes a lot of noise during night and there?s also a lot of traffic at night,45
-117.1556167,32.71693,4563312,,,2024/01/01 16:35:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71693,-117.1556167,1100?1162 Tenth Ave,92101,3,4,Downtown,,Mobile,,SS-000316,SS-000316,Encampment,46
-117.1555294,32.71712268,4563316,,,2024/01/01 16:37:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.71712268,-117.1555294,1012 C St,92101,3,4,Downtown,,Mobile,,SS-000316,SS-000316,Encampment,47
-117.1584827,32.71035803,4563320,4554730,,2024/01/01 16:40:00+00,2,Neighborhood Policing,Encampment,,2024/01/03,Closed,32.71035803,-117.1584827,611 Island Ave,92101,3,4,Downtown,,Mobile,,SS-014278,SS-014278,Encampment blocking  sidewalk access south west  corner of island and 7,48
-117.157587,32.7752752,4563321,4556954,,2024/01/01 16:40:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Closed,32.7752752,-117.157587,"1615 Murray Canyon Rd, San Diego, CA 92108, USA",92108,7,19,Mission Valley,,Web,,SS-018607,SS-018607,An old Pace Arrow motorhome has been parked on Murray heights road off of Murray Canyon road in excess of 72 hours. It is accumulating trash bags on top of the vehicle with numerous bicycles being accumulated. They have even set up a large tent with a canopy closing off a public sidewalk. A true eyesore.,49
-117.2145676,32.75305402,4563325,,,2024/01/01 16:47:00+00,8,ESD Complaint/Report,Encampment,,2024/01/09,Referred,32.75305402,-117.2145676,"3350 Kemper St, San Diego, CA 92110",92110,2,14,Midway-Pacific Highway,,Mobile,This report has been referred to RMS Alternate at cramirez.smartcart@gmail.com,SS-015076,SS-015076,Homeless encampment lots of trash and shopping carts,50
-117.1783999,32.81783112,4563329,,,2024/01/01 16:51:00+00,4,Neighborhood Policing,Encampment,,2024/01/05,Closed,32.81783112,-117.1783999,5613 Balboa Ave,92111,2,6,Clairemont Mesa,,Mobile,,SS-019213,SS-019213,Homeless,51
-117.1590574,32.7751767,4563330,,,2024/01/01 16:52:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.7751767,-117.1590574,"1550 Murray Canyon Rd, San Diego, CA 92108, USA",92108,7,19,Mission Valley,,Web,,,,"This man has been parking behind me at my work for the last three weeks early this morning he spread feces and trash all over the street. I had called the police nonemergency twice, and a extremely racist dispatch operator refused to let me file a police report because I have a Jewish sounding last name, and he personally attacked me twice once at 8:15 AM and once at 8:35 AM, I was unable to file any type of police practices Complaint against him, this guy was definitely racist, and would not take my police report. Each time when I called, the dispatch operator was playing some type of insane games with me trying to personally engage me would not ask me any questions or get any information from me at all. I guess according to the dispatch operator, it?s totally OK to wipe and smear human feces all over the street where you are, and where people are.  It?s not acceptable to me that the policeman won?t let me file a police report because my last name is Goldspiel, and that I cannot file a complaint against this",52
-117.1711438,32.71458331,4563343,,,2024/01/01 17:09:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.71458331,-117.1711438,902 Pacific Highway,92101,3,4,Downtown,,Mobile,,SS-020921-SE1,SS-020921,Blocking sidewalk,53
-117.1712038,32.71430968,4563345,,,2024/01/01 17:11:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.71430968,-117.1712038,825 Pacific Highway,92101,3,4,Downtown,,Mobile,,SS-020921,SS-020921,Do you ever respond? People with kids have to go to the streets in order to get around this campaign,54
-117.1569224,32.711067,4563346,4562782,,2024/01/01 17:13:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Closed,32.711067,-117.1569224,"800 The Mark Ln, San Diego, CA 92101, USA",92101,3,4,Downtown,,Web,,,,Homeless camp that has been here permanently for at least a week,55
-117.1662842,32.74680701,4563357,,,2024/01/01 17:26:00+00,12,Neighborhood Policing,Encampment,,2024/01/13,Closed,32.74680701,-117.1662842,3796 Albatross St,92103,3,42,Uptown,,Mobile,,SS-030002,SS-030002,Homeless person    3796 Albatross street.   92103,56
-117.1266256,32.74791699,4563368,,,2024/01/01 17:37:00+00,15,Neighborhood Policing,Encampment,,2024/01/16,Closed,32.74791699,-117.1266256,3828 Herman Ave,92104,3,28,North Park,,Mobile,,,,Homeless encampment,57
-117.1597436,32.72035089,4563376,,,2024/01/01 17:43:00+00,13,Neighborhood Policing,Encampment,,2024/01/14,Closed,32.72035089,-117.1597436,1434 Sixth Ave,92101,3,4,Downtown,,Mobile,,,,Homeless encampment 5th and Beech,58
-117.131571,32.74860235,4563387,,,2024/01/01 17:47:00+00,15,Neighborhood Policing,Encampment,,2024/01/16,Closed,32.74860235,-117.131571,2892 University Ave,92104,3,28,North Park,,Mobile,,SS-027156,SS-027156,Encampment,59
-117.2093921,32.78585948,4563394,,,2024/01/01 17:54:00+00,7,Neighborhood Policing,Encampment,,2024/01/08,Closed,32.78585948,-117.2093921,Mission Bay Bike Path,92109,2,17,Mission Bay Park,MISSION BAY PARK,Mobile,,,,Going on 2 1/2 weeks same location?,60
-117.1683853,32.7241496,4563400,,,2024/01/01 18:03:00+00,13,Neighborhood Policing,Encampment,,2024/01/14,Closed,32.7241496,-117.1683853,"Little Italy, San Diego, CA 92101, USA",92101,3,4,Downtown,,Web,,SS-014090,SS-014090,"The incident was at the trolley station in Little Italy right by the county building. My husband and I were walking back to the trolley station when we saw a white homeless man defecating right out in the open, for everyone to see. There was a couple walking in front of us and they confronted the homeless man, telling him that what he was doing was completely undignified.  There are available public restrooms right down the street. We continued to walk to the trolley, purchased a ticket. The homeless man soon appeared at the trolley  platform and began to harass my husband and others. I couldn't understand what he was saying. He seemed to have mental issues and was making lots of noise. We also noticed another homeless man, standing at the platform  with his pants pulled down and his genitals exposed. Both of these men were barefoot and in need of mental assistance. I am a long term resident of San Diego and I see homeless individuals everywhere. This is one of several times that I did not feel safe. 12/31",61
-117.1486224,32.73905256,4563406,,,2024/01/01 18:17:00+00,12,Neighborhood Policing,Encampment,,2024/01/13,Closed,32.73905256,-117.1486224,2832?3038 Zoo Dr,92101,3,1,Balboa Park,,Mobile,,SS-031608,SS-031608,Illegal Parking/Camping over 72 Hours (now at 6 plus days),62
-117.0927627,32.75656134,4563407,4559864,,2024/01/01 18:17:00+00,44,ESD Complaint/Report,Encampment,,2024/02/14,Closed,32.75656134,-117.0927627,"4301-4399 47th St, San Diego, CA 92115, USA",92115,9,58,Mid-City:Kensington-Talmadge,,Web,,SS-001112,SS-001112,Blocking side walk,63
-117.1274297,32.76073145,4563419,4561944,,2024/01/01 18:30:00+00,3,Neighborhood Policing,Encampment,,2024/01/04,Referred,32.76073145,-117.1274297,4527?4599 Boundary St,92116,3,28,North Park,,Mobile,appropriate department or agency,SS-004702,SS-004702,"Report Type:EncampmentDescription:*** 3rd report, reference #04511034 (November 19) and 4520590 November 29) *** Aggressive homeless encampment inside fence on boundary street (805 side) neighbors who pause to look Enron as they get in their cars have been met told to ?fuck off? as was this reporter when I stored briefly to take the attached picture.",64
-117.1646662,32.80159584,4563427,,,2024/01/01 18:40:00+00,15,Neighborhood Policing,Encampment,,2024/01/16,Closed,32.80159584,-117.1646662,3170 Armstrong St,92111,7,12,Linda Vista,KEARNY MESA CP,Mobile,,SS-002772,SS-002772,"Homeless living in park for months, repeat GID ticket. Commonly blocks sidewalk with van contents. Spends everyday and night in the park",65
-117.1647027,32.8015544,4563428,4563427,,2024/01/01 18:41:00+00,15,Neighborhood Policing,Encampment,,2024/01/16,Closed,32.8015544,-117.1647027,3170 Armstrong St,92111,7,12,Linda Vista,KEARNY MESA CP,Mobile,,SS-002772,SS-002772,Homeless living in car at Kearny park,66
-117.166312,32.80060077,4563429,,,2024/01/01 18:42:00+00,12,Neighborhood Policing,Encampment,,2024/01/13,Closed,32.80060077,-117.166312,3170 Armstrong St,92111,7,12,Linda Vista,KEARNY MESA CP,Mobile,,,,"Homeless living in truck, all contents out and blocking sidewalk next to baseball fields",67
-117.1025977,32.74986359,4563435,4536227,,2024/01/01 18:47:00+00,9,Neighborhood Policing,Encampment,,2024/01/10,Closed,32.74986359,-117.1025977,4278 University Ave,92105,9,56,Mid-City:City Heights,,Mobile,,SS-027187,SS-027187,Homeless encampment and drug use,68
-117.2103827,32.7502381,4563436,,,2024/01/01 18:47:00+00,5,Neighborhood Policing,Encampment,,2024/01/06,Closed,32.7502381,-117.2103827,3225 Midway Dr,92110,2,14,Midway-Pacific Highway,,Mobile,,SS-018265,SS-018265,Kristy's,69
-117.1580241,32.80035506,4563447,4562818,,2024/01/01 18:57:00+00,5,Neighborhood Policing,Encampment,,2024/01/06,Closed,32.80035506,-117.1580241,7675 Mesa College Dr,92111,7,12,Linda Vista,,Mobile,,SS-016490,SS-016490,"Homeless encampment has taken over porch of commercial building. Multiple individuals, over a year week now. Belongings, shopping carts, and trash all of the parking lot",70
-117.1012401,32.7791154,4563451,4544742,,2024/01/01 18:59:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Referred,32.7791154,-117.1012401,Fairmount Ave,92108,9,20,Navajo,,Mobile,appropriate department or agency,SS-010814,SS-010814,"Homeless encampment, under the freeway",71
-117.2522508,32.75064178,4563456,,,2024/01/01 19:03:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.75064178,-117.2522508,2000?2098 Cape May Pl,92107,2,23,Ocean Beach,SARATOGA  NP,Mobile,,,,This tent has been moving around Saratoga Beach Park for the last three days. I believe there is at least one Caucasian male living in it perhaps there are two not entirely sure.,72
-117.16848,32.78778009,4563465,,,2024/01/01 19:11:00+00,2,ESD Complaint/Report,Encampment,,2024/01/03,Closed,32.78778009,-117.16848,"7112 Hyatt St, San Diego, CA 92111",92111,7,12,Linda Vista,,Mobile,,,,Homeless encampment,73
-117.1508689,32.7179098,4563469,,,2024/01/01 19:12:00+00,4,Neighborhood Policing,Encampment,,2024/01/05,Closed,32.7179098,-117.1508689,1425 Russ Blvd,92101,3,4,Downtown,,Mobile,,SS-003313,SS-003313,If China was visiting these drug encampments wouldn?t be here. It?s true because it?s true. Governor?s own words were ?clean up? How about some compassion for the people who want to live in a safe sanitary neighborhood?,74
-117.1438544,32.71363751,4563478,4569173,,2024/01/01 19:17:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.71363751,-117.1438544,2201?2299 F St,92102,3,8,Greater Golden Hill,,Mobile,,SS-010730,SS-010730,Homeless encampment in our residential neighborhood without a public restroom within 3/4 mile of this location. Occupant has been seen defecating on F St creating a serious human health issue in our community.  On the south side of F st at the East side of 22nd St.,75
-117.1091346,32.74941148,4563488,,,2024/01/01 19:26:00+00,15,Neighborhood Policing,Encampment,,2024/01/16,Referred,32.74941148,-117.1091346,CA-15 S,92105,9,56,Mid-City:City Heights,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,SS-030996,SS-030996,Homeless ale,76
-117.159427,32.748645,4563494,,,2024/01/01 19:31:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.748645,-117.159427,620 University Ave,92103,3,42,Uptown,,Mobile,,SS-000235,SS-000235,Encampment,77
-117.2437938,32.75483633,4563499,,,2024/01/01 19:34:00+00,26,Neighborhood Policing,Encampment,,2024/01/27,Closed,32.75483633,-117.2437938,2525 Bacon St,92107,2,17,Mission Bay Park,,Mobile,,,,Homeless encampment,78
-117.1703153,32.72300709,4563506,4544445,,2024/01/01 19:38:00+00,20,Neighborhood Policing,Encampment,,2024/01/21,Closed,32.72300709,-117.1703153,1600?1998 California St,92101,3,4,Downtown,,Mobile,,SS-029793,SS-029793,Homeless encampment with stolen bicycles and lots of trash.,79
-117.0690386,32.76064707,4563521,,,2024/01/01 19:55:00+00,15,ESD Complaint/Report,Encampment,,2024/01/16,Closed,32.76064707,-117.0690386,4614 60th St,92115,9,38,College Area,,Mobile,,SS-009979,SS-009979,Big camp has taken over the parking lot of the Citi Bank property has a letter of agency on file,80
-117.0683823,32.76038507,4563522,,,2024/01/01 19:55:00+00,14,Neighborhood Policing,Encampment,,2024/01/15,Closed,32.76038507,-117.0683823,5987 El Cajon Blvd,92115,9,57,Mid-City:Eastern Area,,Mobile,,SS-001401,SS-001401,Large camp has taken over the sidewalk this is an ongoing problem in this area,81
-117.1341333,32.7555,4563540,,,2024/01/01 20:11:00+00,7,Neighborhood Policing,Encampment,,2024/01/08,Closed,32.7555,-117.1341333,2744 El Cajon Blvd,92104,3,28,North Park,,Mobile,,SS-010004,SS-010004,Illegal encampment block from school/he isn?t moving and needs medical attn. sdpd pls do something and keep our neighborhood safe!!!,82
-117.1622418,32.74978978,4563542,,,2024/01/01 20:12:00+00,11,Neighborhood Policing,Encampment,,2024/01/12,Closed,32.74978978,-117.1622418,313 Washington St,92103,3,42,Uptown,,Mobile,,SS-028304,SS-028304,Aggressive homeless continue to harass customers and employees at CVS.,83
-117.1454446,32.75391411,4563545,,,2024/01/01 20:14:00+00,5,Neighborhood Policing,Encampment,,2024/01/06,Closed,32.75391411,-117.1454446,"1838-1820 Howard Ave, San Diego, CA 92103, USA",92103,3,28,North Park,,Web,,SS-013808,SS-013808,There are 5+ people living on the sidewalk leaving behind trash and their carts and belongings. some are gathering under the library and some are set up on howard and georgia.,84
-117.1910425,32.74749714,4563551,4554866,,2024/01/01 20:17:00+00,12,Neighborhood Policing,Encampment,,2024/01/13,Closed,32.74749714,-117.1910425,2194 San Diego Ave,92110,3,42,Uptown,,Mobile,,SS-024027,SS-024027,Homeless,85
-117.1405629,32.74803291,4563552,,,2024/01/01 20:18:00+00,10,Neighborhood Policing,Encampment,,2024/01/11,Closed,32.74803291,-117.1405629,2235 University Avenue,92104,3,28,North Park,,Mobile,,,,Homeless encampment at smart and final store entrance and sidewalks,86
-117.1152747,32.91656641,4563558,,,2024/01/01 20:26:00+00,1,Neighborhood Policing,Encampment,,2024/01/02,Referred,32.91656641,-117.1152747,Mira Mesa Boulevard,92131,6,34,Scripps Miramar Ranch,,Mobile,This report has been referred to Caltrans San Diego at ct.public.information.d11@dot.ca.gov,,,Homeless encampment,87
-117.0615792,32.76193813,4563566,4561721,,2024/01/01 20:35:00+00,13,Neighborhood Policing,Encampment,,2024/01/14,Closed,32.76193813,-117.0615792,6301?6373 Stanley Ave,92115,9,57,Mid-City:Eastern Area,,Mobile,,SS-025527,SS-025527,Homeless tent,88
